bath,balcony,price,total_sqft_float,bhk,sqrt_per_room,price_per_square
1.0,1.0,16.0,351.0,1,351.0,4558.404558404558
1.0,0.0,35.0,527.0,1,527.0,6641.366223908918
1.0,1.0,50.0,670.0,1,670.0,7462.686567164179
1.0,0.0,22.89,296.0,1,296.0,7733.108108108108
3.0,3.0,149.0,1750.0,3,583.3333333333334,8514.285714285714
3.0,2.0,150.0,1750.0,3,583.3333333333334,8571.42857142857
2.0,2.0,40.0,1250.0,2,625.0,3200.0
2.0,2.0,40.0,1170.0,2,585.0,3418.803418803419
2.0,2.0,43.0,947.0,2,473.5,4540.654699049631
2.0,2.0,36.0,1130.0,2,565.0,3185.8407079646017
2.0,1.0,58.0,1230.0,2,615.0,4715.447154471544
2.0,1.0,47.0,1116.0,2,558.0,4211.469534050179
2.0,2.0,40.0,991.0,2,495.5,4036.326942482341
2.0,2.0,65.0,1425.0,3,475.0,4561.403508771929
3.0,2.0,75.0,1705.0,3,568.3333333333334,4398.826979472141
3.0,1.0,71.0,1700.0,3,566.6666666666666,4176.470588235294
1.0,1.0,19.5,435.0,1,435.0,4482.758620689655
1.0,1.0,27.0,550.0,1,550.0,4909.090909090909
1.0,1.0,25.5,700.0,1,700.0,3642.8571428571427
2.0,2.0,70.0,1450.0,3,483.3333333333333,4827.586206896552
1.0,0.0,28.0,440.0,1,440.0,6363.636363636364
1.0,0.0,19.8,412.5,1,412.5,4800.0
1.0,1.0,276.0,6000.0,1,6000.0,4600.0
1.0,0.0,25.25,510.0,1,510.0,4950.980392156863
1.0,1.0,25.25,510.0,1,510.0,4950.980392156863
1.0,1.0,52.0,905.0,1,905.0,5745.85635359116
2.0,1.0,110.0,600.0,3,200.0,18333.333333333332
2.0,0.0,480.0,2400.0,3,800.0,20000.0
3.0,2.0,410.0,3420.0,4,855.0,11988.30409356725
6.0,3.0,150.0,1200.0,11,109.0909090909091,12500.0
9.0,3.0,360.0,5000.0,11,454.54545454545456,7200.0
12.0,1.5843757375501535,150.0,6000.0,11,545.4545454545455,2500.0
11.0,0.0,170.0,1200.0,11,109.0909090909091,14166.666666666666
1.0,1.0,200.0,1800.0,1,1800.0,11111.111111111111
4.0,1.0,650.0,2360.0,4,590.0,27542.372881355932
15.0,0.0,125.0,1250.0,14,89.28571428571429,10000.0
16.0,1.5843757375501535,490.0,2000.0,19,105.26315789473684,24500.0
13.0,0.0,275.0,5425.0,13,417.3076923076923,5069.124423963133
18.0,1.5843757375501535,200.0,1200.0,18,66.66666666666667,16666.666666666668
3.0,2.0,85.0,1540.0,3,513.3333333333334,5519.480519480519
1.0,0.0,45.0,600.0,1,600.0,7500.0
4.0,2.0,150.0,3150.0,4,787.5,4761.9047619047615
3.0,2.0,125.0,600.0,3,200.0,20833.333333333332
4.0,2.0,125.0,600.0,3,200.0,20833.333333333332
7.0,3.0,355.0,2400.0,7,342.85714285714283,14791.666666666666
7.0,0.0,235.0,1200.0,8,150.0,19583.333333333332
2.0,2.0,148.0,1235.0,2,617.5,11983.805668016194
3.0,2.0,194.0,1630.0,3,543.3333333333334,11901.840490797545
4.0,1.0,428.0,2850.0,4,712.5,15017.543859649122
4.0,0.0,413.0,2750.0,4,687.5,15018.181818181818
6.0,2.0,125.0,1200.0,6,200.0,10416.666666666666
4.0,2.0,85.0,930.0,7,132.85714285714286,9139.78494623656
4.0,1.5843757375501535,104.0,700.0,8,87.5,14857.142857142857
2.0,3.0,110.0,1415.0,2,707.5,7773.851590106007
2.0,2.0,65.5,860.0,2,430.0,7616.279069767442
3.0,2.0,210.0,2350.0,3,783.3333333333334,8936.170212765957
3.0,3.0,300.0,3000.0,4,750.0,10000.0
5.0,3.0,500.0,3000.0,4,750.0,16666.666666666668
2.0,2.0,50.0,840.0,1,840.0,5952.380952380952
2.0,1.0,100.0,1394.0,2,697.0,7173.601147776184
2.0,2.0,93.0,1077.0,2,538.5,8635.097493036212
2.0,2.0,88.5,1180.0,2,590.0,7500.0
2.0,1.5843757375501535,86.0,1200.0,2,600.0,7166.666666666667
2.0,1.0,85.0,1205.0,2,602.5,7053.941908713693
2.0,1.0,75.0,900.0,2,450.0,8333.333333333334
3.0,1.0,167.0,1875.0,3,625.0,8906.666666666666
4.0,1.0,210.0,2065.0,3,688.3333333333334,10169.49152542373
3.0,3.0,131.0,1590.0,3,530.0,8238.993710691824
3.0,2.0,210.0,2180.0,3,726.6666666666666,9633.02752293578
3.0,3.0,175.0,2077.0,3,692.3333333333334,8425.613866153106
4.0,3.0,250.0,2825.0,4,706.25,8849.557522123894
5.0,3.0,222.0,2615.0,4,653.75,8489.483747609942
5.0,1.5843757375501535,85.0,1500.0,5,300.0,5666.666666666667
2.0,2.0,65.0,1350.0,3,450.0,4814.814814814815
2.0,1.0,67.0,1400.0,2,700.0,4785.714285714285
2.0,2.0,55.0,1200.0,2,600.0,4583.333333333333
4.0,2.0,301.0,3000.0,4,750.0,10033.333333333334
5.0,1.0,250.0,1790.0,6,298.3333333333333,13966.480446927375
27.0,0.0,230.0,8000.0,27,296.2962962962963,2875.0
3.0,3.0,92.0,1625.0,3,541.6666666666666,5661.538461538462
3.0,3.0,92.0,1625.0,3,541.6666666666666,5661.538461538462
5.0,2.0,55.0,950.0,5,190.0,5789.473684210527
3.0,2.0,90.0,1480.0,3,493.3333333333333,6081.081081081081
3.0,2.0,90.0,1480.0,3,493.3333333333333,6081.081081081081
4.0,3.0,235.0,1350.0,4,337.5,17407.40740740741
2.0,1.0,97.0,1000.0,2,500.0,9700.0
3.0,3.0,223.0,1718.0,3,572.6666666666666,12980.209545983702
5.0,2.0,1150.0,4920.0,4,1230.0,23373.983739837397
5.0,1.5843757375501535,972.0,5400.0,7,771.4285714285714,18000.0
1.0,1.0,55.0,1000.0,2,500.0,5500.0
2.0,1.0,42.5,850.0,2,425.0,5000.0
3.0,1.0,190.0,1200.0,3,400.0,15833.333333333334
4.0,2.0,200.0,2800.0,5,560.0,7142.857142857143
8.0,2.0,185.0,1350.0,8,168.75,13703.703703703704
2.0,1.0,40.25,1150.0,2,575.0,3500.0
2.0,1.0,40.25,1150.0,2,575.0,3500.0
2.0,1.0,50.75,1450.0,3,483.3333333333333,3500.0
2.0,2.0,47.25,1350.0,3,450.0,3500.0
2.0,2.0,47.25,1350.0,3,450.0,3500.0
2.0,2.0,47.25,1350.0,3,450.0,3500.0
4.0,1.0,130.0,1200.0,4,300.0,10833.333333333334
4.0,2.0,100.0,600.0,3,200.0,16666.666666666668
4.0,2.0,220.0,1500.0,4,375.0,14666.666666666666
4.0,1.0,200.0,1350.0,4,337.5,14814.814814814816
3.0,1.0,95.0,600.0,4,150.0,15833.333333333334
4.0,1.0,225.0,1200.0,4,300.0,18750.0
3.0,2.0,230.0,1500.0,4,375.0,15333.333333333334
3.0,1.0,84.0,600.0,4,150.0,14000.0
4.0,3.0,240.0,1200.0,5,240.0,20000.0
4.0,3.0,240.0,1200.0,5,240.0,20000.0
4.0,3.0,240.0,1200.0,5,240.0,20000.0
4.0,2.0,240.0,1200.0,5,240.0,20000.0
4.0,3.0,240.0,1200.0,5,240.0,20000.0
4.0,2.0,240.0,1200.0,5,240.0,20000.0
4.0,2.0,233.0,1500.0,6,250.0,15533.333333333334
3.0,1.0,205.0,1200.0,3,400.0,17083.333333333332
